timestamp,Source IP,Source Port,Destination IP,Destination Port,Protocol,Label
2025-01-01T01:03:00,10.0.49.103,57670,192.168.84.72,22,HTTP,BENIGN
2025-01-01T01:04:00,10.0.130.103,56314,192.168.173.252,53,TCP,BENIGN
2025-01-01T01:05:00,10.0.248.67,64104,192.168.45.149,3389,TCP,BENIGN
2025-01-01T01:06:00,10.0.111.89,21581,192.168.186.202,8080,DNS,BENIGN
2025-01-01T01:07:00,10.0.29.99,13481,192.168.230.148,3389,TCP,Bot
2025-01-01T01:08:00,10.0.0.134,36311,192.168.236.207,443,HTTP,DoS Hulk
2025-01-01T01:09:00,10.0.242.171,41863,192.168.235.85,53,TCP,BENIGN
2025-01-01T01:10:00,10.0.76.130,27788,192.168.79.171,53,HTTPS,DoS Hulk
2025-01-01T01:11:00,10.0.141.33,44600,192.168.49.108,8080,UDP,DoS Hulk
2025-01-01T01:12:00,10.0.77.104,1050,192.168.140.214,3389,HTTP,BENIGN
2025-01-01T01:13:00,10.0.201.149,22142,192.168.155.168,3306,HTTPS,BENIGN
2025-01-01T01:14:00,10.0.54.131,60083,192.168.121.204,80,TCP,BENIGN
2025-01-01T01:15:00,10.0.169.163,7144,192.168.158.86,443,HTTP,BENIGN
2025-01-01T01:16:00,10.0.50.38,17070,192.168.6.12,3306,DNS,BENIGN
2025-01-01T01:17:00,10.0.18.117,42296,192.168.106.227,443,HTTPS,DDoS
2025-01-01T01:18:00,10.0.62.38,1387,192.168.167.177,22,HTTPS,BENIGN
2025-01-01T01:19:00,10.0.205.246,31468,192.168.178.133,21,DNS,BENIGN
2025-01-01T01:20:00,10.0.217.32,53545,192.168.116.35,3306,DNS,BENIGN
2025-01-01T01:21:00,10.0.152.82,59444,192.168.243.194,3306,DNS,Infiltration
2025-01-01T01:22:00,10.0.228.130,60455,192.168.109.213,3306,UDP,PortScan
2025-01-01T01:23:00,10.0.121.116,17227,192.168.66.193,3389,DNS,PortScan
2025-01-01T01:24:00,10.0.61.71,47786,192.168.112.20,3389,UDP,BENIGN
2025-01-01T01:25:00,10.0.81.229,10092,192.168.138.21,80,UDP,BENIGN
2025-01-01T01:26:00,10.0.39.181,28212,192.168.54.17,8080,HTTP,BENIGN
2025-01-01T01:27:00,10.0.106.16,28558,192.168.52.214,8080,DNS,BENIGN
2025-01-01T01:28:00,10.0.5.220,38752,192.168.225.196,8080,HTTPS,Web Attack – XSS
2025-01-01T01:29:00,10.0.90.77,56955,192.168.192.100,8080,DNS,BENIGN
2025-01-01T01:30:00,10.0.139.205,15477,192.168.154.230,3306,UDP,PortScan
2025-01-01T01:31:00,10.0.124.8,44859,192.168.99.87,8080,UDP,BENIGN
2025-01-01T01:32:00,10.0.235.33,36028,192.168.251.160,21,HTTPS,DDoS
2025-01-01T01:33:00,10.0.169.7,29113,192.168.21.165,80,HTTPS,BENIGN
2025-01-01T01:34:00,10.0.66.98,30823,192.168.83.55,53,HTTP,BENIGN
2025-01-01T01:35:00,10.0.97.72,55544,192.168.192.244,8080,HTTP,PortScan
2025-01-01T01:36:00,10.0.120.5,4437,192.168.191.139,53,UDP,DDoS
2025-01-01T01:37:00,10.0.199.246,50453,192.168.166.11,21,UDP,DoS Hulk
2025-01-01T01:38:00,10.0.5.160,9296,192.168.39.62,3306,TCP,BENIGN
2025-01-01T01:39:00,10.0.55.120,51283,192.168.179.66,53,UDP,BENIGN
2025-01-01T01:40:00,10.0.246.192,51997,192.168.183.30,80,HTTP,BENIGN
2025-01-01T01:41:00,10.0.6.238,45414,192.168.79.148,8080,HTTPS,BENIGN
2025-01-01T01:42:00,10.0.50.20,55456,192.168.151.177,443,TCP,Web Attack – XSS
2025-01-01T01:43:00,10.0.77.218,53815,192.168.175.154,22,DNS,DoS Hulk
2025-01-01T01:44:00,10.0.88.137,25309,192.168.109.170,22,DNS,PortScan
2025-01-01T01:45:00,10.0.3.218,33149,192.168.107.211,22,HTTPS,DoS Hulk
2025-01-01T01:46:00,10.0.162.229,47378,192.168.212.118,80,HTTPS,Web Attack – Sql Injection
2025-01-01T01:47:00,10.0.133.248,41388,192.168.166.70,3306,HTTPS,BENIGN
2025-01-01T01:48:00,10.0.187.152,56841,192.168.68.83,443,TCP,BENIGN
2025-01-01T01:49:00,10.0.115.63,38369,192.168.192.119,8080,HTTP,BENIGN
2025-01-01T01:50:00,10.0.217.84,14925,192.168.46.125,53,HTTP,BENIGN
2025-01-01T01:51:00,10.0.225.153,19129,192.168.179.226,21,DNS,BENIGN
2025-01-01T01:52:00,10.0.21.62,33043,192.168.184.105,443,HTTPS,Web Attack – XSS
2025-01-01T01:53:00,10.0.125.115,7122,192.168.202.5,3389,UDP,DoS Hulk
2025-01-01T01:54:00,10.0.62.79,25208,192.168.169.149,3306,DNS,BENIGN
2025-01-01T01:55:00,10.0.108.191,24080,192.168.140.85,3306,HTTP,BENIGN
2025-01-01T01:56:00,10.0.59.31,21703,192.168.184.50,22,DNS,BENIGN
2025-01-01T01:57:00,10.0.176.48,49429,192.168.49.56,3306,HTTP,Web Attack – XSS
2025-01-01T01:58:00,10.0.250.195,19570,192.168.134.153,22,UDP,DoS Hulk
2025-01-01T01:59:00,10.0.92.46,47424,192.168.77.4,80,HTTP,BENIGN
2025-01-01T02:00:00,10.0.13.142,62895,192.168.74.179,80,HTTPS,BENIGN
2025-01-01T02:01:00,10.0.3.147,32397,192.168.72.121,3306,HTTP,BENIGN
2025-01-01T02:02:00,10.0.13.65,32332,192.168.240.221,22,TCP,BENIGN
2025-01-01T02:03:00,10.0.18.148,4537,192.168.161.176,80,UDP,BENIGN
2025-01-01T02:04:00,10.0.242.78,8786,192.168.21.64,8080,DNS,PortScan
2025-01-01T02:05:00,10.0.158.58,25952,192.168.198.134,3306,HTTPS,BENIGN
2025-01-01T02:06:00,10.0.150.254,38289,192.168.109.79,21,DNS,BENIGN
2025-01-01T02:07:00,10.0.25.243,42017,192.168.195.54,443,HTTP,Web Attack – Sql Injection
2025-01-01T02:08:00,10.0.40.62,5943,192.168.44.142,80,TCP,DoS Hulk
2025-01-01T02:09:00,10.0.176.153,3163,192.168.120.75,443,HTTP,BENIGN
2025-01-01T02:10:00,10.0.179.221,46072,192.168.116.19,443,HTTP,DoS Hulk
2025-01-01T02:11:00,10.0.160.151,62212,192.168.169.206,443,HTTPS,PortScan
2025-01-01T02:12:00,10.0.57.166,18432,192.168.38.233,80,TCP,BENIGN
2025-01-01T02:13:00,10.0.202.79,55041,192.168.152.192,3389,HTTPS,BENIGN
2025-01-01T02:14:00,10.0.176.78,62803,192.168.179.104,3389,DNS,BENIGN
2025-01-01T02:15:00,10.0.112.21,59313,192.168.153.11,8080,HTTP,BENIGN
2025-01-01T02:16:00,10.0.6.24,45214,192.168.58.247,21,HTTP,BENIGN
2025-01-01T02:17:00,10.0.195.194,35034,192.168.44.121,3306,HTTP,BENIGN
2025-01-01T02:18:00,10.0.149.112,33249,192.168.162.209,22,HTTPS,BENIGN
2025-01-01T02:19:00,10.0.85.83,57236,192.168.171.27,80,HTTP,BENIGN
2025-01-01T02:20:00,10.0.126.74,27268,192.168.169.242,21,HTTPS,BENIGN
2025-01-01T02:21:00,10.0.64.83,51653,192.168.29.249,8080,DNS,BENIGN
2025-01-01T02:22:00,10.0.0.169,31300,192.168.222.139,8080,TCP,DDoS
2025-01-01T02:23:00,10.0.92.160,42010,192.168.193.128,3306,TCP,BENIGN
2025-01-01T02:24:00,10.0.140.34,29736,192.168.237.74,3306,TCP,BENIGN
2025-01-01T02:25:00,10.0.161.156,47540,192.168.204.62,80,HTTP,BENIGN
2025-01-01T02:26:00,10.0.141.105,56166,192.168.23.58,22,HTTPS,BENIGN
2025-01-01T02:27:00,10.0.165.214,62146,192.168.39.128,3389,DNS,Web Attack – XSS
2025-01-01T02:28:00,10.0.106.214,31971,192.168.123.251,443,HTTPS,DoS Hulk
2025-01-01T02:29:00,10.0.98.49,34332,192.168.235.154,80,TCP,BENIGN
2025-01-01T02:30:00,10.0.202.219,62250,192.168.106.88,3389,TCP,BENIGN
2025-01-01T02:31:00,10.0.76.215,44273,192.168.150.149,3306,UDP,BENIGN
2025-01-01T02:32:00,10.0.123.89,51019,192.168.85.142,8080,HTTPS,BENIGN
2025-01-01T02:33:00,10.0.222.49,16674,192.168.251.179,8080,UDP,Web Attack – XSS
2025-01-01T02:34:00,10.0.105.12,32020,192.168.81.191,8080,HTTPS,DDoS
2025-01-01T02:35:00,10.0.202.211,10992,192.168.166.252,3306,TCP,Infiltration
2025-01-01T02:36:00,10.0.247.152,7601,192.168.84.223,3306,TCP,BENIGN
2025-01-01T02:37:00,10.0.116.4,27892,192.168.184.37,80,TCP,BENIGN
2025-01-01T02:38:00,10.0.248.68,46421,192.168.86.160,8080,TCP,BENIGN
2025-01-01T02:39:00,10.0.218.173,25928,192.168.219.137,53,HTTPS,DDoS
2025-01-01T02:40:00,10.0.9.159,42387,192.168.17.61,3389,UDP,FTP-Patator
2025-01-01T02:41:00,10.0.111.251,42557,192.168.25.195,22,HTTPS,PortScan
2025-01-01T02:42:00,10.0.76.232,22282,192.168.7.12,21,HTTP,BENIGN
2025-01-01T02:43:00,10.0.110.38,28028,192.168.62.136,80,UDP,BENIGN
2025-01-01T02:44:00,10.0.156.223,45793,192.168.97.159,443,HTTPS,BENIGN
2025-01-01T02:45:00,10.0.36.60,17668,192.168.118.164,3306,HTTP,SSH-Patator
2025-01-01T02:46:00,10.0.230.206,19874,192.168.119.231,80,TCP,DoS Hulk
2025-01-01T02:47:00,10.0.88.253,42897,192.168.150.77,8080,HTTP,BENIGN
2025-01-01T02:48:00,10.0.77.51,32691,192.168.98.219,22,UDP,BENIGN
2025-01-01T02:49:00,10.0.91.148,20372,192.168.75.180,21,HTTPS,BENIGN
2025-01-01T02:50:00,10.0.144.222,49826,192.168.175.200,21,DNS,BENIGN
2025-01-01T02:51:00,10.0.213.232,51862,192.168.231.74,443,DNS,PortScan
2025-01-01T02:52:00,10.0.56.163,17449,192.168.48.159,80,TCP,PortScan
2025-01-01T02:53:00,10.0.165.11,29913,192.168.79.202,21,DNS,SSH-Patator
2025-01-01T02:54:00,10.0.33.24,22435,192.168.232.76,8080,UDP,BENIGN
2025-01-01T02:55:00,10.0.201.139,25000,192.168.224.249,3389,UDP,BENIGN
2025-01-01T02:56:00,10.0.211.242,53878,192.168.123.248,3389,HTTP,BENIGN
2025-01-01T02:57:00,10.0.119.247,50448,192.168.19.37,443,HTTPS,PortScan
2025-01-01T02:58:00,10.0.205.143,52842,192.168.93.24,8080,TCP,Bot
2025-01-01T02:59:00,10.0.31.117,50111,192.168.94.173,3389,DNS,BENIGN
2025-01-01T03:00:00,10.0.163.241,45250,192.168.95.28,443,HTTPS,BENIGN
2025-01-01T03:01:00,10.0.226.242,61006,192.168.143.84,443,TCP,BENIGN
2025-01-01T03:02:00,10.0.118.233,43572,192.168.179.78,8080,TCP,DoS Hulk
2025-01-01T03:03:00,10.0.242.10,8634,192.168.77.127,22,UDP,BENIGN
2025-01-01T03:04:00,10.0.34.100,44964,192.168.116.95,8080,DNS,FTP-Patator
2025-01-01T03:05:00,10.0.39.227,7513,192.168.106.168,3306,DNS,PortScan
2025-01-01T03:06:00,10.0.243.72,25307,192.168.8.177,443,HTTPS,BENIGN
2025-01-01T03:07:00,10.0.60.219,65310,192.168.92.26,53,DNS,BENIGN
2025-01-01T03:08:00,10.0.165.92,19104,192.168.15.102,443,TCP,SSH-Patator
2025-01-01T03:09:00,10.0.210.117,14924,192.168.23.170,21,TCP,Web Attack – XSS
2025-01-01T03:10:00,10.0.62.254,38024,192.168.32.202,443,TCP,PortScan
2025-01-01T03:11:00,10.0.141.54,54308,192.168.150.56,443,HTTP,DDoS
2025-01-01T03:12:00,10.0.201.231,19195,192.168.152.1,80,UDP,PortScan
2025-01-01T03:13:00,10.0.204.45,57807,192.168.28.170,21,UDP,BENIGN
2025-01-01T03:14:00,10.0.202.202,22242,192.168.60.151,21,UDP,BENIGN
2025-01-01T03:15:00,10.0.32.190,8472,192.168.107.135,22,HTTPS,BENIGN
2025-01-01T03:16:00,10.0.92.132,30646,192.168.151.28,443,DNS,BENIGN
2025-01-01T03:17:00,10.0.200.233,35197,192.168.221.169,3389,HTTPS,BENIGN
2025-01-01T03:18:00,10.0.7.16,27344,192.168.122.217,8080,TCP,DoS Hulk
2025-01-01T03:19:00,10.0.232.114,6318,192.168.18.231,53,DNS,BENIGN
2025-01-01T03:20:00,10.0.32.71,39386,192.168.159.163,53,HTTPS,BENIGN
2025-01-01T03:21:00,10.0.135.76,40701,192.168.116.130,8080,TCP,Infiltration
2025-01-01T03:22:00,10.0.29.219,58545,192.168.167.167,443,HTTPS,PortScan
2025-01-01T03:23:00,10.0.58.106,30744,192.168.86.212,8080,HTTPS,BENIGN
2025-01-01T03:24:00,10.0.80.110,17728,192.168.80.171,53,UDP,DoS Hulk
2025-01-01T03:25:00,10.0.121.18,6618,192.168.23.213,22,HTTPS,DoS Hulk
2025-01-01T03:26:00,10.0.189.96,37486,192.168.207.34,21,DNS,BENIGN
2025-01-01T03:27:00,10.0.143.85,27946,192.168.171.32,53,HTTPS,Web Attack – Sql Injection
2025-01-01T03:28:00,10.0.184.14,40372,192.168.247.74,3389,HTTP,DDoS
2025-01-01T03:29:00,10.0.129.55,32624,192.168.39.169,443,TCP,BENIGN
2025-01-01T03:30:00,10.0.142.95,19280,192.168.29.196,443,HTTPS,BENIGN
2025-01-01T03:31:00,10.0.249.197,41235,192.168.209.160,21,DNS,DDoS
2025-01-01T03:32:00,10.0.212.178,12847,192.168.68.8,3389,HTTP,SSH-Patator
2025-01-01T03:33:00,10.0.89.2,10412,192.168.46.223,8080,TCP,SSH-Patator
2025-01-01T03:34:00,10.0.162.249,49921,192.168.7.24,443,HTTPS,BENIGN
2025-01-01T03:35:00,10.0.87.41,48314,192.168.94.80,53,DNS,BENIGN
2025-01-01T03:36:00,10.0.226.14,50466,192.168.39.41,21,TCP,BENIGN
2025-01-01T03:37:00,10.0.169.109,29993,192.168.124.156,8080,HTTP,BENIGN
2025-01-01T03:38:00,10.0.131.30,8291,192.168.88.111,3389,DNS,BENIGN
2025-01-01T03:39:00,10.0.170.79,26927,192.168.11.57,21,TCP,BENIGN
2025-01-01T03:40:00,10.0.242.55,51104,192.168.196.36,3389,HTTP,BENIGN
2025-01-01T03:41:00,10.0.1.128,12538,192.168.191.111,80,HTTPS,BENIGN
2025-01-01T03:42:00,10.0.58.129,44805,192.168.143.214,53,TCP,BENIGN
2025-01-01T03:43:00,10.0.189.11,31154,192.168.111.5,22,HTTP,BENIGN
2025-01-01T03:44:00,10.0.146.104,28397,192.168.181.164,3389,TCP,BENIGN
2025-01-01T03:45:00,10.0.247.84,63126,192.168.43.206,3306,HTTP,BENIGN
2025-01-01T03:46:00,10.0.216.28,39616,192.168.62.112,8080,DNS,BENIGN
2025-01-01T03:47:00,10.0.222.80,15544,192.168.190.87,53,UDP,BENIGN
2025-01-01T03:48:00,10.0.162.30,13731,192.168.135.131,53,HTTP,BENIGN
2025-01-01T03:49:00,10.0.209.166,16508,192.168.208.38,22,UDP,DoS Hulk
2025-01-01T03:50:00,10.0.44.155,50775,192.168.39.195,22,UDP,BENIGN
2025-01-01T03:51:00,10.0.160.127,37968,192.168.118.194,3306,DNS,Web Attack – XSS
2025-01-01T03:52:00,10.0.252.160,64657,192.168.82.222,53,UDP,DoS Hulk
2025-01-01T03:53:00,10.0.120.114,53212,192.168.161.78,3389,DNS,BENIGN
2025-01-01T03:54:00,10.0.129.19,30640,192.168.79.119,21,TCP,BENIGN
2025-01-01T03:55:00,10.0.73.20,65076,192.168.165.222,22,DNS,BENIGN
2025-01-01T03:56:00,10.0.98.119,63560,192.168.148.142,21,HTTPS,BENIGN
2025-01-01T03:57:00,10.0.146.167,40673,192.168.48.83,3306,DNS,SSH-Patator
2025-01-01T03:58:00,10.0.15.116,59949,192.168.26.208,53,TCP,BENIGN
2025-01-01T03:59:00,10.0.44.11,29712,192.168.63.182,3306,DNS,BENIGN
2025-01-01T04:00:00,10.0.40.94,19563,192.168.95.235,8080,HTTPS,BENIGN
2025-01-01T04:01:00,10.0.173.154,42369,192.168.13.203,53,TCP,PortScan
2025-01-01T04:02:00,10.0.142.174,17538,192.168.98.73,80,HTTP,BENIGN
2025-01-01T04:03:00,10.0.169.37,21355,192.168.234.90,8080,UDP,BENIGN
2025-01-01T04:04:00,10.0.240.22,25710,192.168.79.144,53,UDP,BENIGN
2025-01-01T04:05:00,10.0.212.243,60822,192.168.189.176,22,HTTPS,DoS Hulk
2025-01-01T04:06:00,10.0.4.93,63359,192.168.79.47,443,HTTP,BENIGN
2025-01-01T04:07:00,10.0.124.50,11178,192.168.57.36,22,HTTP,Web Attack – XSS
2025-01-01T04:08:00,10.0.25.130,55754,192.168.197.139,21,HTTP,DDoS
2025-01-01T04:09:00,10.0.158.34,11133,192.168.152.97,80,UDP,FTP-Patator
2025-01-01T04:10:00,10.0.197.160,11872,192.168.207.232,3306,TCP,DDoS
2025-01-01T04:11:00,10.0.173.185,30135,192.168.60.249,3389,HTTPS,BENIGN
2025-01-01T04:12:00,10.0.61.80,52428,192.168.247.208,3306,UDP,BENIGN
2025-01-01T04:13:00,10.0.242.147,31280,192.168.252.113,3389,HTTPS,BENIGN
2025-01-01T04:14:00,10.0.107.248,14111,192.168.41.210,80,HTTP,BENIGN
2025-01-01T04:15:00,10.0.123.224,62253,192.168.95.142,22,DNS,BENIGN
2025-01-01T04:16:00,10.0.72.22,18901,192.168.195.42,3306,DNS,DDoS
2025-01-01T04:17:00,10.0.111.24,15575,192.168.242.234,3306,HTTP,BENIGN
2025-01-01T04:18:00,10.0.106.14,25531,192.168.101.129,443,HTTPS,SSH-Patator
2025-01-01T04:19:00,10.0.95.58,62026,192.168.7.82,22,HTTP,Infiltration
2025-01-01T04:20:00,10.0.35.10,55403,192.168.73.235,3306,UDP,PortScan
2025-01-01T04:21:00,10.0.120.115,60390,192.168.157.2,22,TCP,PortScan
2025-01-01T04:22:00,10.0.213.39,48684,192.168.140.241,8080,TCP,BENIGN
2025-01-01T04:23:00,10.0.60.78,16650,192.168.31.13,8080,DNS,PortScan
2025-01-01T04:24:00,10.0.28.215,40131,192.168.231.128,21,DNS,BENIGN
2025-01-01T04:25:00,10.0.183.37,1126,192.168.74.110,53,UDP,BENIGN
2025-01-01T04:26:00,10.0.47.171,35331,192.168.171.22,53,TCP,BENIGN
2025-01-01T04:27:00,10.0.139.130,34291,192.168.201.254,21,HTTPS,Web Attack – Sql Injection
2025-01-01T04:28:00,10.0.11.163,25488,192.168.99.252,3389,TCP,FTP-Patator
2025-01-01T04:29:00,10.0.17.89,44087,192.168.61.188,22,DNS,BENIGN
2025-01-01T04:30:00,10.0.85.35,36807,192.168.11.91,53,UDP,PortScan
2025-01-01T04:31:00,10.0.175.119,32385,192.168.251.179,80,UDP,DDoS
2025-01-01T04:32:00,10.0.198.242,20255,192.168.117.10,443,TCP,BENIGN
2025-01-01T04:33:00,10.0.226.11,21345,192.168.80.239,8080,DNS,PortScan
2025-01-01T04:34:00,10.0.9.193,19774,192.168.165.49,53,TCP,BENIGN
2025-01-01T04:35:00,10.0.84.70,25142,192.168.31.205,8080,HTTPS,DDoS
2025-01-01T04:36:00,10.0.229.245,64837,192.168.98.87,80,HTTPS,PortScan
2025-01-01T04:37:00,10.0.94.237,18503,192.168.204.133,22,HTTPS,DoS Hulk
2025-01-01T04:38:00,10.0.154.211,20276,192.168.46.140,53,TCP,BENIGN
2025-01-01T04:39:00,10.0.169.76,40517,192.168.78.115,8080,UDP,BENIGN
2025-01-01T04:40:00,10.0.89.115,58042,192.168.10.187,53,DNS,DoS Hulk
2025-01-01T04:41:00,10.0.70.164,63145,192.168.250.203,21,TCP,Heartbleed
2025-01-01T04:42:00,10.0.103.94,50169,192.168.131.206,80,TCP,DoS Hulk
2025-01-01T04:43:00,10.0.155.174,3304,192.168.200.113,80,TCP,BENIGN
2025-01-01T04:44:00,10.0.165.94,63248,192.168.92.99,21,DNS,BENIGN
2025-01-01T04:45:00,10.0.115.243,30118,192.168.94.96,22,DNS,BENIGN
2025-01-01T04:46:00,10.0.93.102,19288,192.168.80.167,443,TCP,BENIGN
2025-01-01T04:47:00,10.0.47.128,60893,192.168.132.100,22,HTTP,BENIGN
2025-01-01T04:48:00,10.0.180.115,19739,192.168.54.157,3306,UDP,PortScan
2025-01-01T04:49:00,10.0.218.19,59919,192.168.115.45,3306,TCP,BENIGN
2025-01-01T04:50:00,10.0.247.217,44791,192.168.252.82,53,TCP,PortScan
2025-01-01T04:51:00,10.0.74.229,11346,192.168.76.218,80,HTTP,BENIGN
2025-01-01T04:52:00,10.0.31.253,10125,192.168.51.203,443,HTTPS,BENIGN
2025-01-01T04:53:00,10.0.141.147,53692,192.168.94.120,80,DNS,BENIGN
2025-01-01T04:54:00,10.0.16.80,48135,192.168.101.184,3306,DNS,FTP-Patator
2025-01-01T04:55:00,10.0.104.211,9237,192.168.147.19,53,TCP,BENIGN
2025-01-01T04:56:00,10.0.174.133,58561,192.168.88.33,80,UDP,BENIGN
2025-01-01T04:57:00,10.0.233.223,9161,192.168.14.213,80,HTTP,BENIGN
2025-01-01T04:58:00,10.0.82.240,23700,192.168.181.58,3389,TCP,BENIGN
2025-01-01T04:59:00,10.0.162.245,9227,192.168.141.71,3389,DNS,BENIGN
